Sketch Map , BaseId , SketchId , GenId , Generalization Type
CM_Sketch_9.png,0,S0,g.0,No generalization
CM_Sketch_9.png,110,S25,g.110,No generalization
CM_Sketch_9.png,46,S19,g.46,No generalization
CM_Sketch_9.png,64 63,S21,g.63.64,OmissionMerge
CM_Sketch_9.png,66,S23,g.66,No generalization
CM_Sketch_9.png,68,S24,g.68,No generalization
CM_Sketch_9.png,67,S22,g.67,No generalization
CM_Sketch_9.png,37,S16,g.37,No generalization
CM_Sketch_9.png,35 30,S9,g.30.35,OmissionMerge
CM_Sketch_9.png,17 34,S5,g.17.34,OmissionMerge
CM_Sketch_9.png,40,S8,g.40,No generalization
CM_Sketch_9.png,38,S17,g.38,No generalization
CM_Sketch_9.png,48 65 52 53 55 59,S20,g.48.52.53.55.59.65,OmissionMerge
CM_Sketch_9.png,41 43 45,S18,g.41.43.45,OmissionMerge
CM_Sketch_9.png,39,S7,g.39,No generalization
CM_Sketch_9.png,33 4 31,S4,g.4.31.33,OmissionMerge
CM_Sketch_9.png,19 6,S10,g.6.19,OmissionMerge
CM_Sketch_9.png,3,S2,g.3,No generalization
CM_Sketch_9.png,1,S1,g.1,No generalization
CM_Sketch_9.png,2,S3,g.2,No generalization
CM_Sketch_9.png,20,S11,g.20,No generalization
CM_Sketch_9.png,23,S13,g.23,No generalization
CM_Sketch_9.png,24 22,S12,g.22.24,OmissionMerge
CM_Sketch_9.png,21,S14,g.21,No generalization
CM_Sketch_9.png,26 36,S15,g.26.36,OmissionMerge
CM_Sketch_9.png,73 75 77 79 81 83 85 87 89 91 93 95 96 101 102 103 104 105 106,S27 S29 S26 S28,g.73.75.77.79.81.83.85.87.89.91.93.95.96.101.102.103.104.105.106,Abstraction to show existence
CM_Sketch_9.png,71,S30,g.71,No generalization
CM_Sketch_9.png,113 115,S6,g.113.115,OmissionMerge
CM_Sketch_9.png,Features missing in sketch map,"5,7,8,9,10,12,13,14,15,16,25,27,28,29,32,42,44,47,49,50,51,54,56,57,58,60,61,62,69,111,112,114,116,107,108,109"
CM_Sketch_9.png,Features drawn extra in sketch map, 
   
AS_Sketch_1.png,21,S0,g.21,No generalization
AS_Sketch_1.png,19 6,S1,g.6.19,OmissionMerge
AS_Sketch_1.png,4,S2,g.4,No generalization
AS_Sketch_1.png,105,S3,g.105,No generalization
AS_Sketch_1.png,77,S4,g.77,No generalization
AS_Sketch_1.png,111,S5,g.111,No generalization
AS_Sketch_1.png,8 5,S6,g.5.8,OmissionMerge
AS_Sketch_1.png,25,S7,g.25,No generalization
AS_Sketch_1.png,9,S8,g.9,No generalization
AS_Sketch_1.png,10,S9,g.10,No generalization
AS_Sketch_1.png,112,S10,g.112,No generalization
AS_Sketch_1.png,26,S11,g.26,No generalization
AS_Sketch_1.png,27 28,S12,g.27.28,OmissionMerge
AS_Sketch_1.png,33 31 39,S13,g.31.33.39,OmissionMerge
AS_Sketch_1.png,40,S14,g.40,No generalization
AS_Sketch_1.png,36 37,S17,g.36.37,OmissionMerge
AS_Sketch_1.png,38,S18,g.38,No generalization
AS_Sketch_1.png,16 113 17 115 12 14,S19,g.12.14.16.17.113.115,OmissionMerge
AS_Sketch_1.png,41 43 45,S20,g.41.43.45,OmissionMerge
AS_Sketch_1.png,48 65 52 53 55 59,S21,g.48.52.53.55.59.65,OmissionMerge
AS_Sketch_1.png,67,S22,g.67,No generalization
AS_Sketch_1.png,68,S23,g.68,No generalization
AS_Sketch_1.png,66,S24,g.66,No generalization
AS_Sketch_1.png,64 63,S25,g.63.64,OmissionMerge
AS_Sketch_1.png,46,S26,g.46,No generalization
AS_Sketch_1.png,0,S27,g.0,No generalization
AS_Sketch_1.png,Features missing in sketch map,"1,2,3,7,13,15,20,22,23,24,29,30,32,34,35,42,44,47,49,50,51,54,56,57,58,60,61,62,69,114,116,71,73,75,79,81,83,85,87,89,91,93,95,101,102,103,104,106,107,108,109,110"
AS_Sketch_1.png,Features drawn extra in sketch map, 
   
AS_Sketch_4.png,21,S0,g.21,No generalization
AS_Sketch_4.png,0,S2,g.0,No generalization
AS_Sketch_4.png,19 6,S3,g.6.19,OmissionMerge
AS_Sketch_4.png,73 75 77 79 81 83 85 87 89 91 93 95 101 102 103 104 105 106,S14 S15 S10 S8 S11 S4 S9 S13 S7 S6 S5 S12,g.73.75.77.79.81.83.85.87.89.91.93.95.101.102.103.104.105.106,Abstraction to show existence
AS_Sketch_4.png,107,S17,g.107,No generalization
AS_Sketch_4.png,108,S16,g.108,No generalization
AS_Sketch_4.png,109,S18,g.109,No generalization
AS_Sketch_4.png,26 67 36 37,S19,g.26.36.37.67,OmissionMerge
AS_Sketch_4.png,65 48 113 115 52 53 55 59,S20 S24 S26 S28 S22,g.48.52.53.55.59.65.113.115,Abstraction to show existence
AS_Sketch_4.png,49 114 51 40 57 60,S25 S21,g.40.49.51.57.60.114,Abstraction to show existence
AS_Sketch_4.png,110,S29,g.110,No generalization
AS_Sketch_4.png,68,S30,g.68,No generalization
AS_Sketch_4.png,66,S33,g.66,No generalization
AS_Sketch_4.png,64 63,S32,g.63.64,OmissionMerge
AS_Sketch_4.png,33 43 45 39,S34,g.33.39.43.45,OmissionMerge
AS_Sketch_4.png,46,S35,g.46,No generalization
AS_Sketch_4.png,32,S36,g.32,No generalization
AS_Sketch_4.png,71,S37,g.71,No generalization
AS_Sketch_4.png,4 31,S38,g.4.31,OmissionMerge
AS_Sketch_4.png,54 116 38,S27 S23,g.38.54.116,Abstraction to show existence
AS_Sketch_4.png,Features missing in sketch map,"1,2,3,5,7,8,9,10,12,13,14,15,16,17,20,22,23,24,25,27,28,29,30,34,35,41,42,44,47,50,56,58,61,62,69,111,112"
AS_Sketch_4.png,Features drawn extra in sketch map, 
   
AS_Sketch_10.png,71,S0,g.71,No generalization
AS_Sketch_10.png,32,S1,g.32,No generalization
AS_Sketch_10.png,3,S4,g.3,No generalization
AS_Sketch_10.png,0,S5,g.0,No generalization
AS_Sketch_10.png,1,S6,g.1,No generalization
AS_Sketch_10.png,95,S7,g.95,No generalization
AS_Sketch_10.png,19 6,S8,g.6.19,OmissionMerge
