Measure Type Key:

GMDA_c - Configural GMDA Measures
BDR_c - Configural BDR parameters
GMDA_i - GMDA Measures (individual landmarks)
BDR_i - BDR parameters (individual landmarks)

Configural GMDA Measures

Measure Type,Filename,Measure,Score
BDR_i,2,28,beta 2,0
BDR_i,2,28,scale,0.662486070961386
BDR_i,2,28,theta,0
BDR_i,2,28,DMax,229.62986521792
BDR_i,2,28,D,42.1210063589759
BDR_i,2,28,DI,18.343000079281
BDR_i,2,30,r,0.999579517648339
BDR_i,2,30,alpha 1,8.89420334321982
BDR_i,2,30,alpha 2,-88.5274605393243
BDR_i,2,30,beta 1,0.553097194286299
BDR_i,2,30,beta 2,1.13637654973352E-05
BDR_i,2,30,scale,0.553097194403037
BDR_i,2,30,theta,0.00117718153157915
BDR_i,2,30,DMax,58.033395558075
BDR_i,2,30,D,1.68275623359074
BDR_i,2,30,DI,2.89963428368891
BDR_i,2,29,r,0.932934707226517
BDR_i,2,29,alpha 1,5.93512139434246
BDR_i,2,29,alpha 2,-50.73547449325
BDR_i,2,29,beta 1,0.574993694662366
BDR_i,2,29,beta 2,0
BDR_i,2,29,scale,0.574993694662366
BDR_i,2,29,theta,0
BDR_i,2,29,DMax,146.499146755194
BDR_i,2,29,D,52.7463727805404
BDR_i,2,29,DI,36.0045597184819
BDR_i,2,27,r,0.998379177027153
BDR_i,2,27,alpha 1,-45.0425168306577
BDR_i,2,27,alpha 2,-60.6741066804764
BDR_i,2,27,beta 1,0.566235111341274
BDR_i,2,27,beta 2,0
BDR_i,2,27,scale,0.566235111341274
BDR_i,2,27,theta,0
BDR_i,2,27,DMax,83.5927628446387
BDR_i,2,27,D,4.75746299710535
BDR_i,2,27,DI,5.69123789573426
BDR_i,2,26,r,0.993225823123385
BDR_i,2,26,alpha 1,-223.199487510241
BDR_i,2,26,alpha 2,-134.892028518138
BDR_i,2,26,beta 1,0.335227569857235
BDR_i,2,26,beta 2,0
BDR_i,2,26,scale,0.335227569857235
BDR_i,2,26,theta,0
BDR_i,2,26,DMax,85.7430755221668
BDR_i,2,26,D,9.96335433400598
BDR_i,2,26,DI,11.620010447876
