Sketch Map , BaseId , SketchId , GenId , Generalization Type
AS_Sketch_4.jpg,62,S30,g.62,No generalization
AS_Sketch_4.jpg,64 63,S31,g.63.64,Amalgamation
AS_Sketch_4.jpg,61,S32,g.61,No generalization
AS_Sketch_4.jpg,59,S33,g.59,No generalization
AS_Sketch_4.jpg,66,S34,g.66,No generalization
AS_Sketch_4.jpg,55,S36,g.55,No generalization
AS_Sketch_4.jpg,57,S37,g.57,No generalization
AS_Sketch_4.jpg,33,S38,g.33,No generalization
AS_Sketch_4.jpg,32,S39,g.32,No generalization
AS_Sketch_4.jpg,Features missing in sketch map,"3,4,5,6,7,10,12,13,19,20,21,22,23,24,25,27,28,29,30,31,36,41,53,56,58,60,70,72,73,74,75,76"
AS_Sketch_4.jpg,Features drawn extra in sketch map, 
   
AS_Sketch_7.jpg,17,S0,g.17,No generalization
AS_Sketch_7.jpg,16,S1,g.16,No generalization
AS_Sketch_7.jpg,8,S3,g.8,No generalization
AS_Sketch_7.jpg,2,S4,g.2,No generalization
AS_Sketch_7.jpg,26 43 44,S5,g.26.43.44,OmissionMerge
AS_Sketch_7.jpg,34,S6,g.34,No generalization
AS_Sketch_7.jpg,33,S8,g.33,No generalization
AS_Sketch_7.jpg,32,S9,g.32,No generalization
AS_Sketch_7.jpg,65,S10,g.65,No generalization
AS_Sketch_7.jpg,67,S11,g.67,No generalization
AS_Sketch_7.jpg,48,S2,g.48,No generalization
AS_Sketch_7.jpg,73,S12,g.73,No generalization
AS_Sketch_7.jpg,Features missing in sketch map,"0,3,4,5,6,7,9,10,11,12,13,15,19,20,21,22,23,24,25,27,28,29,30,31,35,36,37,38,39,40,41,42,45,46,47,49,50,51,52,53,55,56,57,58,59,60,61,62,63,64,66,70,72,74,75,76,78"
AS_Sketch_7.jpg,Features drawn extra in sketch map, 
   
AS_Sketch_5.jpg,0,S0,g.0,No generalization
AS_Sketch_5.jpg,16,S2,g.16,No generalization
AS_Sketch_5.jpg,8,S4,g.8,No generalization
AS_Sketch_5.jpg,9,S5,g.9,No generalization
AS_Sketch_5.jpg,47,S6,g.47,No generalization
AS_Sketch_5.jpg,38,S7,g.38,No generalization
AS_Sketch_5.jpg,34 35 26 43 44,S8,g.26.34.35.43.44,OmissionMerge
AS_Sketch_5.jpg,45 46,S10,g.45.46,OmissionMerge
AS_Sketch_5.jpg,15,S11,g.15,No generalization
AS_Sketch_5.jpg,65,S13,g.65,No generalization
AS_Sketch_5.jpg,66,S14,g.66,No generalization
AS_Sketch_5.jpg,73,S15,g.73,No generalization
AS_Sketch_5.jpg,11,S16,g.11,No generalization
AS_Sketch_5.jpg,48,S17,g.48,No generalization
AS_Sketch_5.jpg,2,S1,g.2,No generalization
AS_Sketch_5.jpg,Features missing in sketch map,"3,4,5,6,7,10,12,13,17,19,20,21,22,23,24,25,27,28,29,30,31,32,33,36,37,39,40,41,42,49,50,51,52,53,55,56,57,58,59,60,61,62,63,64,67,70,72,74,75,76,78"
AS_Sketch_5.jpg,Features drawn extra in sketch map, S1,S12
   
AS_Sketch_6.jpg,25,S0,g.25,No generalization
AS_Sketch_6.jpg,3 5 7,S1,g.3.5.7,OmissionMerge
AS_Sketch_6.jpg,4,S2,g.4,No generalization
AS_Sketch_6.jpg,2,S3,g.2,No generalization
AS_Sketch_6.jpg,8,S4,g.8,No generalization
AS_Sketch_6.jpg,9,S5,g.9,No generalization
AS_Sketch_6.jpg,10,S7,g.10,No generalization
AS_Sketch_6.jpg,47,S8,g.47,No generalization
AS_Sketch_6.jpg,38,S9,g.38,No generalization
AS_Sketch_6.jpg,11,S10,g.11,No generalization
AS_Sketch_6.jpg,0,S12,g.0,No generalization
AS_Sketch_6.jpg,16,S13,g.16,No generalization
AS_Sketch_6.jpg,17,S14,g.17,No generalization
AS_Sketch_6.jpg,26 43,S15,g.26.43,OmissionMerge
AS_Sketch_6.jpg,40 41 42,S16,g.40.41.42,OmissionMerge
AS_Sketch_6.jpg,46,S17,g.46,No generalization
AS_Sketch_6.jpg,45,S19,g.45,No generalization
AS_Sketch_6.jpg,15,S20,g.15,No generalization
AS_Sketch_6.jpg,78,S21,g.78,No generalization
AS_Sketch_6.jpg,34 35,S22,g.34.35,OmissionMerge
AS_Sketch_6.jpg,44,S23,g.44,No generalization
AS_Sketch_6.jpg,33,S24,g.33,No generalization
AS_Sketch_6.jpg,32,S25,g.32,No generalization
AS_Sketch_6.jpg,64 66 59 61 62 63,S29 S28 S26 S30 S27,g.59.61.62.63.64.66,Abstraction to show existence
AS_Sketch_6.jpg,58,S31,g.58,No generalization
AS_Sketch_6.jpg,57,S32,g.57,No generalization
AS_Sketch_6.jpg,55,S33,g.55,No generalization
AS_Sketch_6.jpg,48,S34,g.48,No generalization
AS_Sketch_6.jpg,53,S35,g.53,No generalization
AS_Sketch_6.jpg,73,S37,g.73,No generalization
AS_Sketch_6.jpg,65,S39,g.65,No generalization
AS_Sketch_6.jpg,Features missing in sketch map,"6,12,13,19,20,21,22,23,24,27,28,29,30,31,36,37,39,49,50,51,52,56,60,67,70,72,74,75,76"
AS_Sketch_6.jpg,Features drawn extra in sketch map, S6,S11,S18,S36,S38
   
CM_Sketch_3.jpg,73,S0,g.73,No generalization
CM_Sketch_3.jpg,25,S1,g.25,No generalization
CM_Sketch_3.jpg,3 5 7,S2,g.3.5.7,OmissionMerge
CM_Sketch_3.jpg,2,S3,g.2,No generalization
CM_Sketch_3.jpg,53,S4,g.53,No generalization
CM_Sketch_3.jpg,0,S5,g.0,No generalization
CM_Sketch_3.jpg,48,S6,g.48,No generalization
CM_Sketch_3.jpg,49 50 51 52,S7 S8 S9,g.49.50.51.52,Abstraction to show existence
CM_Sketch_3.jpg,8,S10,g.8,No generalization
CM_Sketch_3.jpg,16,S11,g.16,No generalization
CM_Sketch_3.jpg,38,S12,g.38,No generalization
CM_Sketch_3.jpg,56 55,S13,g.55.56,Amalgamation
CM_Sketch_3.jpg,17,S14,g.17,No generalization
CM_Sketch_3.jpg,67,S15,g.67,No generalization
CM_Sketch_3.jpg,26,S16,g.26,No generalization
CM_Sketch_3.jpg,39,S17,g.39,No generalization
CM_Sketch_3.jpg,43,S18,g.43,No generalization
CM_Sketch_3.jpg,40 42,S19,g.40.42,OmissionMerge
CM_Sketch_3.jpg,37,S20,g.37,No generalization
CM_Sketch_3.jpg,41,S21,g.41,No generalization
CM_Sketch_3.jpg,34,S22,g.34,No generalization
CM_Sketch_3.jpg,35,S23,g.35,No generalization
CM_Sketch_3.jpg,27,S25,g.27,No generalization
CM_Sketch_3.jpg,44,S24,g.44,No generalization
CM_Sketch_3.jpg,32,S26,g.32,No generalization
CM_Sketch_3.jpg,33,S27,g.33,No generalization
CM_Sketch_3.jpg,65,S28,g.65,No generalization
CM_Sketch_3.jpg,66,S31,g.66,No generalization
CM_Sketch_3.jpg,64 61 62 63,S29 S32 S30,g.61.62.63.64,Abstraction to show existence
CM_Sketch_3.jpg,Features missing in sketch map,"4,6,9,10,11,12,13,15,19,20,21,22,23,24,28,29,30,31,36,45,46,47,57,58,59,60,70,72,74,75,76,78"
CM_Sketch_3.jpg,Features drawn extra in sketch map, 
   
AS_Sketch_9.jpg,48,S1,g.48,No generalization
AS_Sketch_9.jpg,55,S2,g.55,No generalization
AS_Sketch_9.jpg,58,S3,g.58,No generalization
AS_Sketch_9.jpg,65,S6,g.65,No generalization
AS_Sketch_9.jpg,73,S7,g.73,No generalization
AS_Sketch_9.jpg,8,S9,g.8,No generalization
AS_Sketch_9.jpg,53,S11,g.53,No generalization
AS_Sketch_9.jpg,38,S15,g.38,No generalization
AS_Sketch_9.jpg,47,S16,g.47,No generalization
AS_Sketch_9.jpg,9 10,S17,g.9.10,OmissionMerge
AS_Sketch_9.jpg,46,S18,g.46,No generalization
AS_Sketch_9.jpg,40 41 39,S19,g.39.40.41,OmissionMerge
AS_Sketch_9.jpg,50 51 52,S24 S23 S22,g.50.51.52,Abstraction to show existence
AS_Sketch_9.jpg,27,S25,g.27,No generalization
AS_Sketch_9.jpg,17,S26,g.17,No generalization
AS_Sketch_9.jpg,43 44,S27,g.43.44,OmissionMerge
AS_Sketch_9.jpg,32,S28,g.32,No generalization
AS_Sketch_9.jpg,33,S29,g.33,No generalization
AS_Sketch_9.jpg,34 35,S30,g.34.35,OmissionMerge
AS_Sketch_9.jpg,45,S31,g.45,No generalization
AS_Sketch_9.jpg,78,S32,g.78,No generalization
AS_Sketch_9.jpg,0,S33,g.0,No generalization
AS_Sketch_9.jpg,2,S10,g.2,No generalization
AS_Sketch_9.jpg,16,S13,g.16,No generalization
AS_Sketch_9.jpg,26,S21,g.26,No generalization
AS_Sketch_9.jpg,Features missing in sketch map,"3,4,5,6,7,11,12,13,15,19,20,21,22,23,24,25,28,29,30,31,36,37,42,49,56,57,59,60,61,62,63,64,66,67,70,72,74,75,76"
AS_Sketch_9.jpg,Features drawn extra in sketch map, S4
   
CM_Sketch_2.jpg,70 72 73 74 75 76,S0,g.70.72.73.74.75.76,Amalgamation
CM_Sketch_2.jpg,53,S1,g.53,No generalization
CM_Sketch_2.jpg,2,S2,g.2,No generalization
CM_Sketch_2.jpg,0,S3,g.0,No generalization
CM_Sketch_2.jpg,8,S4,g.8,No generalization
CM_Sketch_2.jpg,9 10,S5,g.9.10,OmissionMerge
CM_Sketch_2.jpg,11,S6,g.11,No generalization
CM_Sketch_2.jpg,45 46 47,S7,g.45.46.47,OmissionMerge
CM_Sketch_2.jpg,15,S8,g.15,No generalization
CM_Sketch_2.jpg,78,S9,g.78,No generalization
CM_Sketch_2.jpg,16 26 43 44,S10,g.16.26.43.44,OmissionMerge
CM_Sketch_2.jpg,33,S11,g.33,No generalization
CM_Sketch_2.jpg,34 35,S12,g.34.35,OmissionMerge
CM_Sketch_2.jpg,32,S13,g.32,No generalization
CM_Sketch_2.jpg,48,S14,g.48,No generalization
CM_Sketch_2.jpg,67,S15,g.67,No generalization
CM_Sketch_2.jpg,59,S16,g.59,No generalization
CM_Sketch_2.jpg,66,S18,g.66,No generalization
CM_Sketch_2.jpg,65,S19,g.65,No generalization
CM_Sketch_2.jpg,64 61 62 63,S20,g.61.62.63.64,Amalgamation
CM_Sketch_2.jpg,Features missing in sketch map,"3,4,5,6,7,12,13,17,19,20,21,22,23,24,25,27,28,29,30,31,36,37,38,39,40,41,42,49,50,51,52,55,56,57,58,60"
CM_Sketch_2.jpg,Features drawn extra in sketch map, S21
   
CM_Sketch_7.jpg,65,S8,g.65,No generalization
CM_Sketch_7.jpg,67,S9,g.67,No generalization
CM_Sketch_7.jpg,48,S10,g.48,No generalization
CM_Sketch_7.jpg,2,S0,g.2,No generalization
CM_Sketch_7.jpg,16,S2,g.16,No generalization
CM_Sketch_7.jpg,17,S3,g.17,No generalization
CM_Sketch_7.jpg,26 43 44,S4,g.26.43.44,OmissionMerge
CM_Sketch_7.jpg,8,S1,g.8,No generalization
CM_Sketch_7.jpg,34,S7,g.34,No generalization
CM_Sketch_7.jpg,33,S6,g.33,No generalization
CM_Sketch_7.jpg,32,S5,g.32,No generalization
CM_Sketch_7.jpg,73,S11,g.73,No generalization
CM_Sketch_7.jpg,Features missing in sketch map,"0,3,4,5,6,7,9,10,11,12,13,15,19,20,21,22,23,24,25,27,28,29,30,31,35,36,37,38,39,40,41,42,45,46,47,49,50,51,52,53,55,56,57,58,59,60,61,62,63,64,66,70,72,74,75,76,78"
CM_Sketch_7.jpg,Features drawn extra in sketch map, 
   
CM_Sketch_6.jpg,48,S26,g.48,No generalization
CM_Sketch_6.jpg,4,S0,g.4,No generalization
CM_Sketch_6.jpg,25,S4,g.25,No generalization
CM_Sketch_6.jpg,3 5 7,S1,g.3.5.7,OmissionMerge
CM_Sketch_6.jpg,2,S5,g.2,No generalization
CM_Sketch_6.jpg,10,S2,g.10,No generalization
CM_Sketch_6.jpg,53,S27,g.53,No generalization
CM_Sketch_6.jpg,0,S6,g.0,No generalization
CM_Sketch_6.jpg,17,S11,g.17,No generalization
CM_Sketch_6.jpg,8,S7,g.8,No generalization
CM_Sketch_6.jpg,9,S8,g.9,No generalization
CM_Sketch_6.jpg,11,S9,g.11,No generalization
CM_Sketch_6.jpg,55,S28,g.55,No generalization
CM_Sketch_6.jpg,57,S29,g.57,No generalization
CM_Sketch_6.jpg,58,S30,g.58,No generalization
CM_Sketch_6.jpg,38,S16,g.38,No generalization
CM_Sketch_6.jpg,47,S14,g.47,No generalization
CM_Sketch_6.jpg,26 43,S12,g.26.43,OmissionMerge
CM_Sketch_6.jpg,16,S10,g.16,No generalization
CM_Sketch_6.jpg,64 66 59 60 61 62 63,S34 S32 S31 S33 S35,g.59.60.61.62.63.64.66,Abstraction to show existence
CM_Sketch_6.jpg,40 41 42,S13,g.40.41.42,OmissionMerge
CM_Sketch_6.jpg,65,S36,g.65,No generalization
CM_Sketch_6.jpg,46,S21,g.46,No generalization
CM_Sketch_6.jpg,45,S23,g.45,No generalization
CM_Sketch_6.jpg,15,S25,g.15,No generalization
CM_Sketch_6.jpg,78,S24,g.78,No generalization
CM_Sketch_6.jpg,34 35,S20,g.34.35,OmissionMerge
CM_Sketch_6.jpg,33,S18,g.33,No generalization
CM_Sketch_6.jpg,32,S19,g.32,No generalization
CM_Sketch_6.jpg,44,S17,g.44,No generalization
CM_Sketch_6.jpg,73,S38,g.73,No generalization
CM_Sketch_6.jpg,Features missing in sketch map,"6,12,13,19,20,21,22,23,24,27,28,29,30,31,36,37,39,49,50,51,52,56,67,70,72,74,75,76"
CM_Sketch_6.jpg,Features drawn extra in sketch map, S3,S15,S22,S37,S39
   
JK_Sketch_1.jpg,3 5 7,S1,g.3.5.7,OmissionMerge
JK_Sketch_1.jpg,2,S2,g.2,No generalization
JK_Sketch_1.jpg,38,S7,g.38,No generalization
JK_Sketch_1.jpg,17,S6,g.17,No generalization
JK_Sketch_1.jpg,0,S3,g.0,No generalization
JK_Sketch_1.jpg,16,S5,g.16,No generalization
JK_Sketch_1.jpg,26 43 44,S8,g.26.43.44,OmissionMerge
JK_Sketch_1.jpg,33,S9,g.33,No generalization
JK_Sketch_1.jpg,34 35 15,S12,g.15.34.35,OmissionMerge
JK_Sketch_1.jpg,32 30,S11,g.30.32,OmissionMerge
JK_Sketch_1.jpg,65,S14,g.65,No generalization
JK_Sketch_1.jpg,55,S15,g.55,No generalization
JK_Sketch_1.jpg,48,S16,g.48,No generalization
JK_Sketch_1.jpg,53,S17,g.53,No generalization
JK_Sketch_1.jpg,73,S19,g.73,No generalization
