### Folder: Loc0,,,,,,,,
CanScore,CanOrg,CanAcc,ScaBias,DistAcc,RotBias,AngAcc,ID,
0,0,0,0,1,0,1,AS_Sketch_10.jpg,
446,0.03,0.08,-0.01,0.96,-7.25,0.95,AS_Sketch_2.jpg,
0,0,0,0,1,0,1,AS_Sketch_3.jpg,
177,0.01,0.02,0,0.99,40.42,0.98,AS_Sketch_4.jpg,
128,0.01,0.17,0.01,0.99,11.92,0.99,AS_Sketch_5.jpg,
345,0.02,0.06,0,0.99,-10.21,0.99,AS_Sketch_6.jpg,
365,0.02,0.48,-0.03,0.96,-14.85,0.96,AS_Sketch_7.jpg,
345,0.02,0.06,0,1,-9.07,1,AS_Sketch_8.jpg,
0,0,0,0,1,0,1,AS_Sketch_9.jpg,
128,0.01,0.1,0,1,-9.68,0.99,CM_Sketch_1.jpg,
0,0,0,0,1,0,1,CM_Sketch_10.jpg,
113,0.01,0.02,0,1,-5,1,CM_Sketch_2.jpg,
477,0.03,0.05,0,0.99,-2.12,0.98,CM_Sketch_3.jpg,
516,0.03,0.07,0,0.98,10.2,0.97,CM_Sketch_4.jpg,
0,0,0,0,1,0,1,CM_Sketch_5.jpg,
0,0,0,0,1,0,1,CM_Sketch_6.jpg,
365,0.02,0.48,-0.03,0.96,-14.84,0.96,CM_Sketch_7.jpg,
747,0.05,0.13,-0.01,0.99,-3.56,0.99,CM_Sketch_8.jpg,
177,0.01,0.05,0,0.97,34.21,0.95,CM_Sketch_9.jpg,
124,0.01,0.1,0,1,-3.4,1,JK_Sketch_1.jpg,
0,0,0,0,1,0,1,JK_Sketch_10.jpg,
0,0,0,0,1,0,1,JK_Sketch_2.jpg,
122,0.01,0.01,0,1,-14.35,1,JK_Sketch_3.jpg,
0,0,0,0,1,0,1,JK_Sketch_4.jpg,
0,0,0,0,1,0,1,JK_Sketch_5.jpg,
0,0,0,0,1,0,1,JK_Sketch_6.jpg,
356,0.02,0.46,0,0.97,-24.88,0.93,JK_Sketch_7.jpg,
1147,0.07,0.16,-0.01,0.98,-6.81,0.98,JK_Sketch_8.jpg,
480,0.03,0.18,0,0.96,1.59,0.93,JK_Sketch_9.jpg,
222.7333333,0.014,0.092666667,-0.002666667,0.989666667,-1.018333333,0.985,,
,,,,,,,,
### Folder: Loc4,,,,,,,,
CanScore,CanOrg,CanAcc,ScaBias,DistAcc,RotBias,AngAcc,ID,
365,0.06,0.06,0,1,-26.16,0.99,AS_Sketch_1.png,
0,0,0,0,1,0,1,AS_Sketch_10.png,
870,0.15,0.32,-0.04,0.87,-35.16,0.85,AS_Sketch_2.png,
0,0,0,0,1,0,1,AS_Sketch_3.png,
245,0.04,0.05,0,0.98,-25.28,0.98,AS_Sketch_4.png,
106,0.02,0.03,0,1,-12.45,1,AS_Sketch_5.png,
1760,0.31,0.38,-0.03,0.96,-5.53,0.97,AS_Sketch_6.png,
2388,0.41,0.41,0.01,0.98,-19.66,0.93,AS_Sketch_7.png,
63,0.01,0.02,0,0.99,2.75,0.98,AS_Sketch_8.png,
1028,0.18,0.38,0.02,0.97,-19.81,0.91,AS_Sketch_9.png,
341,0.06,0.06,0,0.99,-12.69,0.99,CM_Sketch_1.png,
128,0.02,0.03,0,1,-35.69,0.99,CM_Sketch_10.png,
1188,0.21,0.33,0.01,0.97,-16.87,0.96,CM_Sketch_2.png,
285,0.05,0.05,0,0.99,-4.4,0.99,CM_Sketch_3.png,
277,0.05,0.05,0,0.99,-5.09,0.99,CM_Sketch_4.png,
528,0.09,0.15,0.02,0.97,-13.41,0.95,CM_Sketch_5.png,
3071,0.53,0.67,-0.02,0.95,-5.53,0.91,CM_Sketch_6.png,
1599,0.28,0.28,0.01,0.97,-9.02,0.95,CM_Sketch_7.png,
