Base Map,Sketch Maps,Generalization,Completeness_Streets(%),Completeness_Buildings(%),QualitativeAccuracy_Recall,QualitativeAccuracy_Precision,Generalization_OmissionMerge,Generalization_OmissionMerge(many-many),Generalization_Street_AbstractionToShowExistence,Generalization_JuctionMerge,Generalization_RoundaboutCollapse,Generalization_Amalgamation,Generalization_Collapse,Generalization_Building_AbstractionToShowExistence,QualitativeAccuracy_BuildingTopology(RCC8),QualitativeAccuracy_StreetBuildingTopology(DE9IM),QualitativeAccuracy_StreetsOrientation(OPRA),QualitativeAccuracy_StreetsConnectedness,QualitativeAccuracy_BuildingRoute_LeftRight,QualitativeAccuracy_BuildingRoute_LinearOrdering
location1.png,AS_Sketch_1.jpg,6,29.27,29.41,0.85,0.91,4,0,0,0,0,2,0,0,100,0,47.62,100,93.75,89.29
location1.png,AS_Sketch_3.jpg,8,33.33,22.58,0.94,0.95,4,0,1,0,0,3,0,0,100,0,66.67,100,100,95.24
location1.png,AS_Sketch_2.jpg,10,68.89,30.56,0.91,0.93,8,0,0,1,0,1,0,0,94.55,0,39.68,100,94.44,97.22
location1.png,AS_Sketch_4.jpg,7,80.00,45.95,0.93,0.93,6,0,0,0,0,1,0,0,97.79,0,46.91,100,82.61,56.06
location1.png,AS_Sketch_5.jpg,11,37.14,64.71,0.91,0.87,4,1,1,0,0,3,0,2,100,0,41.18,100,57.14,50
location1.png,AS_Sketch_6.jpg,5,30.00,16.67,0.88,0.91,4,0,0,0,0,1,0,0,100,0,61.9,100,87.5,83.33
location1.png,AS_Sketch_7.jpg,11,65.12,54.55,0.92,0.95,8,0,0,1,0,2,0,0,98.04,0,54.39,100,96,90.91
location1.png,AS_Sketch_8.jpg,13,52.63,25.00,0.78,0.65,8,0,0,1,0,4,0,0,100,0,23.08,70,41.67,90
location1.png,AS_Sketch_9.jpg,8,31.71,19.35,0.92,0.91,5,0,0,0,0,3,0,0,100,0,57.14,100,71.43,100
location1.png,AS_Sketch_10.jpg,12,44.74,12.50,0.92,0.9,8,0,0,1,0,3,0,0,100,0,58.82,100,60,50
location1.png,CM_Sketch_1.jpg,6,29.27,29.41,0.85,0.91,4,0,0,0,0,2,0,0,100,0,38.1,100,94.12,92.86
location1.png,CM_Sketch_2.jpg,11,66.67,30.56,0.92,0.93,8,0,0,2,0,1,0,0,98.18,0,40.62,100,100,97.22
location1.png,CM_Sketch_3.jpg,10,35.14,21.43,0.91,0.92,4,1,1,0,0,3,0,1,100,0,53.33,100,100,90
location1.png,CM_Sketch_4.jpg,7,80.00,50.00,0.94,0.93,6,0,0,0,0,1,0,0,98.04,0,46.91,100,82.61,57.58
location1.png,CM_Sketch_5.jpg,12,41.67,64.71,0.78,0.92,4,1,1,0,0,3,1,2,100,0,42.11,100,100,83.33
location1.png,CM_Sketch_6.jpg,5,29.27,16.67,0.83,0.87,4,0,0,0,0,1,0,0,100,0,38.1,100,85.71,83.33
location1.png,CM_Sketch_7.jpg,11,65.12,54.55,0.91,0.93,8,0,0,1,0,2,0,0,98.04,0,38.6,100,96.15,90.91
location1.png,CM_Sketch_8.jpg,14,50.00,25.00,0.91,0.91,9,0,0,1,0,4,0,0,100,0,43.59,100,91.67,90
location1.png,CM_Sketch_9.jpg,8,31.71,19.35,0.92,0.91,5,0,0,0,0,3,0,0,100,0,57.14,100,71.43,100
location1.png,JK_Sketch_1.jpg,7,30.00,22.58,0.88,0.84,4,0,0,0,0,2,0,1,100,0,57.14,100,57.14,30
location1.png,JK_Sketch_2.jpg,11,71.43,30.56,0.91,0.81,9,0,0,1,0,1,0,0,94.55,0,42.19,86.9,45,83.33
location1.png,JK_Sketch_3.jpg,10,36.11,21.43,0.92,0.93,4,1,1,0,0,3,0,1,100,0,60,100,100,90
location1.png,JK_Sketch_4.jpg,7,79.59,50.00,0.92,0.92,6,0,0,0,0,1,0,0,98.04,0,40.26,99.6,82.61,54.55
location1.png,JK_Sketch_5.jpg,12,42.86,64.71,0.8,0.93,4,1,1,0,0,3,1,2,100,0,52.63,100,100,83.33
location1.png,CM_Sketch_10.jpg,12,44.74,12.90,0.86,0.86,8,0,0,1,0,3,0,0,100,0,35.29,100,66.67,33.33
location1.png,JK_Sketch_6.jpg,6,29.27,9.09,0.89,0.89,4,0,0,0,0,1,0,1,100,0,52.38,100,100,100
location1.png,JK_Sketch_7.jpg,11,62.79,54.55,0.91,0.93,8,0,0,1,0,2,0,0,98.69,0,35.19,100,96,90.91
location1.png,JK_Sketch_8.jpg,14,50.00,25.00,0.94,0.94,9,0,0,1,0,3,0,1,100,0,64.1,100,88.89,83.33
location1.png,JK_Sketch_9.jpg,8,31.71,19.35,0.94,0.93,5,0,0,0,0,3,0,0,100,0,66.67,100,71.43,100
location1.png,JK_Sketch_10.jpg,12,47.22,12.90,0.92,0.64,9,0,0,0,0,3,0,0,100,0,47.06,66.91,66.67,33.33
