Sketch Map , BaseId , SketchId , GenId , Generalization Type
AS_Sketch_1.jpg,46,S0,g.46,No generalization
AS_Sketch_1.jpg,0,S4,g.0,No generalization
AS_Sketch_1.jpg,11,S5,g.11,No generalization
AS_Sketch_1.jpg,12,S6,g.12,No generalization
AS_Sketch_1.jpg,14,S7,g.14,No generalization
AS_Sketch_1.jpg,13,S8,g.13,No generalization
AS_Sketch_1.jpg,144 25 120 121 110 109 142,S9,g.25.109.110.120.121.142.144,OmissionMerge
AS_Sketch_1.jpg,26,S10,g.26,No generalization
AS_Sketch_1.jpg,24,S11,g.24,No generalization
AS_Sketch_1.jpg,27 45 23,S12,g.23.27.45,OmissionMerge
AS_Sketch_1.jpg,51,S13,g.51,No generalization
AS_Sketch_1.jpg,50,S14,g.50,No generalization
AS_Sketch_1.jpg,49,S15,g.49,No generalization
AS_Sketch_1.jpg,48,S16,g.48,No generalization
AS_Sketch_1.jpg,84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108,S17,g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,Amalgamation
AS_Sketch_1.jpg,59,S18,g.59,No generalization
AS_Sketch_1.jpg,69,S19,g.69,No generalization
AS_Sketch_1.jpg,60,S20,g.60,No generalization
AS_Sketch_1.jpg,61,S21,g.61,No generalization
AS_Sketch_1.jpg,72 70 71,S22,g.70.71.72,Amalgamation
AS_Sketch_1.jpg,42 35 44,S23,g.35.42.44,OmissionMerge
AS_Sketch_1.jpg,128 130 131 132 122 123 124 125 126 127,S24,g.122.123.124.125.126.127.128.130.131.132,OmissionMerge
AS_Sketch_1.jpg,Features missing in sketch map,"2,4,5,6,7,8,9,15,20,21,28,29,30,32,33,34,38,43,111,114,119,133,134,135,136,137,138,140,146,47,53,54,55,56,57,58,62,63,64,65,66,67,68,73,74,76,77,78,79,80,81,82,83"
AS_Sketch_1.jpg,Features drawn extra in sketch map, S1
   
AS_Sketch_3.jpg,0,S0,g.0,No generalization
AS_Sketch_3.jpg,42 35 44,S1,g.35.42.44,OmissionMerge
AS_Sketch_3.jpg,128 130 131 132 122 123 124 125 126 127,S2,g.122.123.124.125.126.127.128.130.131.132,OmissionMerge
AS_Sketch_3.jpg,27 45 23,S3,g.23.27.45,OmissionMerge
AS_Sketch_3.jpg,46,S4,g.46,No generalization
AS_Sketch_3.jpg,49,S5,g.49,No generalization
AS_Sketch_3.jpg,48,S6,g.48,No generalization
AS_Sketch_3.jpg,84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108,S8,g.84.85.86.87.88.89.90.91.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108,Amalgamation
AS_Sketch_3.jpg,56 53 54 55,S10,g.53.54.55.56,Amalgamation
AS_Sketch_3.jpg,59,S11,g.59,No generalization
AS_Sketch_3.jpg,72 70 71,S12,g.70.71.72,Amalgamation
AS_Sketch_3.jpg,11,S13,g.11,No generalization
AS_Sketch_3.jpg,12,S14,g.12,No generalization
AS_Sketch_3.jpg,13,S15,g.13,No generalization
AS_Sketch_3.jpg,14 15,S16,g.14.15,OmissionMerge
AS_Sketch_3.jpg,109 110 111 142 144 146 114 119 120 121 25,S20 S17 S19 S18 S21,g.25.109.110.111.114.119.120.121.142.144.146,Abstraction to show existence
AS_Sketch_3.jpg,26,S22,g.26,No generalization
AS_Sketch_3.jpg,24,S23,g.24,No generalization
AS_Sketch_3.jpg,69,S24,g.69,No generalization
AS_Sketch_3.jpg,Features missing in sketch map,"2,4,5,6,7,8,9,20,21,28,29,30,32,33,34,38,43,133,134,135,136,137,138,140,47,50,51,57,58,60,61,62,63,64,65,66,67,68,73,74,76,77,78,79,80,81,82,83"
AS_Sketch_3.jpg,Features drawn extra in sketch map, S7,S9
   
AS_Sketch_2.jpg,46,S0,g.46,No generalization
AS_Sketch_2.jpg,42 44,S1,g.42.44,OmissionMerge
AS_Sketch_2.jpg,34,S2,g.34,No generalization
AS_Sketch_2.jpg,35,S3,g.35,No generalization
AS_Sketch_2.jpg,122 123 124 125,S4,g.122.123.124.125,OmissionMerge
AS_Sketch_2.jpg,0,S5,g.0,No generalization
