AS_Sketch_1.jpg
Correctness
Qualitative Spatial Aspects , Relations in Base map , Relations in Sketch Map , Correct Relations, Wrong Relations, Missing Relations, Accuracy Rate (%)
Topological Relations between Landmarks and Regions,45,45,45,0,0,100
Linear Ordering of Landmarks along Street Segments,36,28,25,3,8,89.29
Left-Right Relations of Landmarks wrt. Street-segments,21,16,15,0,6,93.75
Topological Relations between street-segments and regions/landmarks,0,0,0,0,0,0
Connectivity of street segments,66,66,66,0,0,100
Relative Orientation of Connected Street-segments,21,21,10,11,0,47.62
    
AS_Sketch_3.jpg
Correctness
Qualitative Spatial Aspects , Relations in Base map , Relations in Sketch Map , Correct Relations, Wrong Relations, Missing Relations, Accuracy Rate (%)
Topological Relations between Landmarks and Regions,21,21,21,0,0,100
Linear Ordering of Landmarks along Street Segments,21,21,20,1,0,95.24
Left-Right Relations of Landmarks wrt. Street-segments,16,14,14,0,2,100
Topological Relations between street-segments and regions/landmarks,0,0,0,0,0,0
Connectivity of street segments,55,55,55,0,0,100
Relative Orientation of Connected Street-segments,15,15,10,5,0,66.67
    
AS_Sketch_2.jpg
Correctness
Qualitative Spatial Aspects , Relations in Base map , Relations in Sketch Map , Correct Relations, Wrong Relations, Missing Relations, Accuracy Rate (%)
Topological Relations between Landmarks and Regions,55,55,52,3,0,94.55
Linear Ordering of Landmarks along Street Segments,45,36,35,1,9,97.22
Left-Right Relations of Landmarks wrt. Street-segments,23,18,17,0,6,94.44
Topological Relations between street-segments and regions/landmarks,0,0,0,0,0,0
Connectivity of street segments,465,465,465,0,0,100
Relative Orientation of Connected Street-segments,63,63,25,38,0,39.68
    
AS_Sketch_4.jpg
Correctness
Qualitative Spatial Aspects , Relations in Base map , Relations in Sketch Map , Correct Relations, Wrong Relations, Missing Relations, Accuracy Rate (%)
Topological Relations between Landmarks and Regions,136,136,133,3,0,97.79
Linear Ordering of Landmarks along Street Segments,55,66,37,8,10,56.06
Left-Right Relations of Landmarks wrt. Street-segments,27,23,19,0,8,82.61
Topological Relations between street-segments and regions/landmarks,0,0,0,0,0,0
Connectivity of street segments,780,780,780,0,0,100
Relative Orientation of Connected Street-segments,81,81,38,43,0,46.91
    
AS_Sketch_5.jpg
Correctness
Qualitative Spatial Aspects , Relations in Base map , Relations in Sketch Map , Correct Relations, Wrong Relations, Missing Relations, Accuracy Rate (%)
Topological Relations between Landmarks and Regions,36,36,36,0,0,100
Linear Ordering of Landmarks along Street Segments,6,10,5,1,0,50
Left-Right Relations of Landmarks wrt. Street-segments,5,7,4,0,1,57.14
Topological Relations between street-segments and regions/landmarks,0,0,0,0,0,0
Connectivity of street segments,66,66,66,0,0,100
Relative Orientation of Connected Street-segments,17,17,7,10,0,41.18
    
AS_Sketch_6.jpg
Correctness
Qualitative Spatial Aspects , Relations in Base map , Relations in Sketch Map , Correct Relations, Wrong Relations, Missing Relations, Accuracy Rate (%)
Topological Relations between Landmarks and Regions,15,15,15,0,0,100
Linear Ordering of Landmarks along Street Segments,10,6,5,1,4,83.33
Left-Right Relations of Landmarks wrt. Street-segments,9,8,7,0,2,87.5
Topological Relations between street-segments and regions/landmarks,0,0,0,0,0,0
Connectivity of street segments,66,66,66,0,0,100
Relative Orientation of Connected Street-segments,21,21,13,8,0,61.9
    
AS_Sketch_7.jpg
Correctness
Qualitative Spatial Aspects , Relations in Base map , Relations in Sketch Map , Correct Relations, Wrong Relations, Missing Relations, Accuracy Rate (%)
Topological Relations between Landmarks and Regions,153,153,150,3,0,98.04
Linear Ordering of Landmarks along Street Segments,78,66,60,6,12,90.91
Left-Right Relations of Landmarks wrt. Street-segments,31,25,24,0,7,96
Topological Relations between street-segments and regions/landmarks,0,0,0,0,0,0
Connectivity of street segments,378,378,378,0,0,100
Relative Orientation of Connected Street-segments,57,57,31,26,0,54.39
    
AS_Sketch_8.jpg
Correctness
Qualitative Spatial Aspects , Relations in Base map , Relations in Sketch Map , Correct Relations, Wrong Relations, Missing Relations, Accuracy Rate (%)
Topological Relations between Landmarks and Regions,21,21,21,0,0,100
Linear Ordering of Landmarks along Street Segments,10,10,9,1,0,90
Left-Right Relations of Landmarks wrt. Street-segments,12,12,5,0,7,41.67
Topological Relations between street-segments and regions/landmarks,0,0,0,0,0,0
Connectivity of street segments,153,190,133,20,0,70
Relative Orientation of Connected Street-segments,31,39,9,12,10,23.08
    
AS_Sketch_9.jpg
Correctness
Qualitative Spatial Aspects , Relations in Base map , Relations in Sketch Map , Correct Relations, Wrong Relations, Missing Relations, Accuracy Rate (%)
Topological Relations between Landmarks and Regions,15,15,15,0,0,100
Linear Ordering of Landmarks along Street Segments,6,6,6,0,0,100
Left-Right Relations of Landmarks wrt. Street-segments,6,7,5,0,1,71.43
Topological Relations between street-segments and regions/landmarks,0,0,0,0,0,0
Connectivity of street segments,78,78,78,0,0,100
Relative Orientation of Connected Street-segments,21,21,12,9,0,57.14
    
AS_Sketch_10.jpg
Correctness
Qualitative Spatial Aspects , Relations in Base map , Relations in Sketch Map , Correct Relations, Wrong Relations, Missing Relations, Accuracy Rate (%)
Topological Relations between Landmarks and Regions,6,6,6,0,0,100
Linear Ordering of Landmarks along Street Segments,3,6,3,0,0,50
Left-Right Relations of Landmarks wrt. Street-segments,3,5,3,0,0,60
Topological Relations between street-segments and regions/landmarks,0,0,0,0,0,0
Connectivity of street segments,136,136,136,0,0,100
Relative Orientation of Connected Street-segments,34,34,20,14,0,58.82
    
CM_Sketch_1.jpg
Correctness
Qualitative Spatial Aspects , Relations in Base map , Relations in Sketch Map , Correct Relations, Wrong Relations, Missing Relations, Accuracy Rate (%)
Topological Relations between Landmarks and Regions,45,45,45,0,0,100
Linear Ordering of Landmarks along Street Segments,36,28,26,2,8,92.86
Left-Right Relations of Landmarks wrt. Street-segments,21,17,16,0,5,94.12
Topological Relations between street-segments and regions/landmarks,0,0,0,0,0,0
Connectivity of street segments,66,66,66,0,0,100
Relative Orientation of Connected Street-segments,21,21,8,13,0,38.1
    
CM_Sketch_2.jpg
Correctness
Qualitative Spatial Aspects , Relations in Base map , Relations in Sketch Map , Correct Relations, Wrong Relations, Missing Relations, Accuracy Rate (%)
Topological Relations between Landmarks and Regions,55,55,54,1,0,98.18
Linear Ordering of Landmarks along Street Segments,45,36,35,1,9,97.22
Left-Right Relations of Landmarks wrt. Street-segments,18,15,15,0,3,100
Topological Relations between street-segments and regions/landmarks,0,0,0,0,0,0
Connectivity of street segments,435,435,435,0,0,100
Relative Orientation of Connected Street-segments,64,64,26,38,0,40.62
    
CM_Sketch_3.jpg
Correctness
Qualitative Spatial Aspects , Relations in Base map , Relations in Sketch Map , Correct Relations, Wrong Relations, Missing Relations, Accuracy Rate (%)
Topological Relations between Landmarks and Regions,10,10,10,0,0,100
Linear Ordering of Landmarks along Street Segments,10,10,9,1,0,90
Left-Right Relations of Landmarks wrt. Street-segments,12,11,11,0,1,100
Topological Relations between street-segments and regions/landmarks,0,0,0,0,0,0
Connectivity of street segments,55,55,55,0,0,100
Relative Orientation of Connected Street-segments,15,15,8,7,0,53.33
    
CM_Sketch_4.jpg
Correctness
Qualitative Spatial Aspects , Relations in Base map , Relations in Sketch Map , Correct Relations, Wrong Relations, Missing Relations, Accuracy Rate (%)
Topological Relations between Landmarks and Regions,153,153,150,3,0,98.04
Linear Ordering of Landmarks along Street Segments,55,66,38,7,10,57.58
Left-Right Relations of Landmarks wrt. Street-segments,27,23,19,0,8,82.61
Topological Relations between street-segments and regions/landmarks,0,0,0,0,0,0
Connectivity of street segments,780,780,780,0,0,100
Relative Orientation of Connected Street-segments,81,81,38,43,0,46.91
    
CM_Sketch_5.jpg
Correctness
Qualitative Spatial Aspects , Relations in Base map , Relations in Sketch Map , Correct Relations, Wrong Relations, Missing Relations, Accuracy Rate (%)
Topological Relations between Landmarks and Regions,45,36,36,0,9,100
Linear Ordering of Landmarks along Street Segments,15,6,5,1,9,83.33
Left-Right Relations of Landmarks wrt. Street-segments,11,4,4,0,7,100
Topological Relations between street-segments and regions/landmarks,0,0,0,0,0,0
