landmarkName,rectangleVertexNum,X,Y
25,0,-330,181
25,1,-310,181
25,2,-290,181
25,3,-290,157
25,4,-290,132
25,5,-310,132
25,6,-330,132
25,7,-330,157
24,8,-263,118
24,9,-221,118
24,10,-179,118
24,11,-179,5
24,12,-179,-109
24,13,-221,-109
24,14,-263,-109
24,15,-263,5
33,16,-159,122
33,17,-139,122
33,18,-118,122
33,19,-118,105
33,20,-118,87
33,21,-139,87
33,22,-159,87
33,23,-159,105
32,24,-121,125
32,25,-102,125
32,26,-83,125
32,27,-83,104
32,28,-83,82
32,29,-102,82
32,30,-121,82
32,31,-121,104
31,32,-88,124
31,33,-70,124
31,34,-52,124
31,35,-52,92
31,36,-52,59
31,37,-70,59
31,38,-88,59
31,39,-88,92
28,40,-2,-55
28,41,66,-55
28,42,135,-55
28,43,135,-119
28,44,135,-183
28,45,66,-183
28,46,-2,-183
28,47,-2,-119
30,48,90,-81
30,49,107,-81
30,50,124,-81
30,51,124,-97
30,52,124,-114
30,53,107,-114
30,54,90,-114
30,55,90,-97
29,56,18,-130
29,57,74,-130
29,58,130,-130
29,59,130,-151
29,60,130,-172
29,61,74,-172
29,62,18,-172
29,63,18,-151
27,64,-78,-142
27,65,-52,-142
27,66,-25,-142
27,67,-25,-163
27,68,-25,-185
27,69,-52,-185
27,70,-78,-185
27,71,-78,-163
26,72,-345,-129
26,73,-321,-129
26,74,-296,-129
26,75,-296,-154
26,76,-296,-179
26,77,-321,-179
26,78,-345,-179
26,79,-345,-154
