landmarkName,rectangleVertexNum,X,Y
25,0,-320,224
25,1,-277,224
25,2,-233,224
25,3,-233,172
25,4,-233,120
25,5,-277,120
25,6,-320,120
25,7,-320,172
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
33,8,-5,162
33,9,72,162
33,10,149,162
33,11,149,137
33,12,149,111
33,13,72,111
33,14,-5,111
33,15,-5,137
32,16,-5,162
32,17,72,162
32,18,149,162
32,19,149,137
32,20,149,111
32,21,72,111
32,22,-5,111
32,23,-5,137
31,24,151,166
31,25,174,166
31,26,198,166
31,27,198,136
31,28,198,105
31,29,174,105
31,30,151,105
31,31,151,136
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
30,32,208,-97
30,33,226,-97
30,34,244,-97
30,35,244,-116
30,36,244,-135
30,37,226,-135
30,38,208,-135
30,39,208,-116
29,40,118,-143
29,41,178,-143
29,42,239,-143
29,43,239,-175
29,44,239,-207
29,45,178,-207
29,46,118,-207
29,47,118,-175
27,48,19,-111
27,49,55,-111
27,50,91,-111
27,51,91,-151
27,52,91,-192
27,53,55,-192
27,54,19,-192
27,55,19,-151
26,56,-268,-107
26,57,-222,-107
26,58,-175,-107
26,59,-175,-133
26,60,-175,-160
26,61,-222,-160
26,62,-268,-160
26,63,-268,-133
