landmarkName,rectangleVertexNum,X,Y
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
24,0,-195,75
24,1,-161,75
24,2,-127,75
24,3,-127,8
24,4,-127,-59
24,5,-161,-59
24,6,-195,-59
24,7,-195,8
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
28,8,63,-107
28,9,140,-107
28,10,217,-107
28,11,217,-124
28,12,217,-141
28,13,140,-141
28,14,63,-141
28,15,63,-124
30,16,191,-114
30,17,203,-114
30,18,215,-114
30,19,215,-123
30,20,215,-132
30,21,203,-132
30,22,191,-132
30,23,191,-123
29,24,64,-131
29,25,140,-131
29,26,217,-131
29,27,217,-150
29,28,217,-170
29,29,140,-170
29,30,64,-170
29,31,64,-150
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
