landmarkName,rectangleVertexNum,X,Y
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
24,0,-182,-92
24,1,-182,-62
24,2,-182,-33
24,3,-141,-33
24,4,-99,-33
24,5,-99,-62
24,6,-99,-92
24,7,-141,-92
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
32,8,-124,-39
32,9,-124,-27
32,10,-124,-15
32,11,-105,-15
32,12,-86,-15
32,13,-86,-27
32,14,-86,-39
32,15,-105,-39
31,16,-87,-24
31,17,-87,-15
31,18,-87,-7
31,19,-73,-7
31,20,-58,-7
31,21,-58,-15
31,22,-58,-24
31,23,-73,-24
28,24,58,-90
28,25,58,-65
28,26,58,-40
28,27,116,-40
28,28,174,-40
28,29,174,-65
28,30,174,-90
28,31,116,-90
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
27,32,45,-121
27,33,45,-109
27,34,45,-98
27,35,64,-98
27,36,83,-98
27,37,83,-109
27,38,83,-121
27,39,64,-121
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
