landmarkName,rectangleVertexNum,X,Y
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
33,0,-106,127
33,1,-29,127
33,2,48,127
33,3,48,95
33,4,48,63
33,5,-29,63
33,6,-106,63
33,7,-106,95
32,8,-106,127
32,9,-29,127
32,10,48,127
32,11,48,95
32,12,48,63
32,13,-29,63
32,14,-106,63
32,15,-106,95
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
28,16,118,-30
28,17,197,-30
28,18,277,-30
28,19,277,-104
28,20,277,-179
28,21,197,-179
28,22,118,-179
28,23,118,-104
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
None, None, None, None
27,24,-13,-144
27,25,28,-144
27,26,69,-144
27,27,69,-176
27,28,69,-208
27,29,28,-208
27,30,-13,-208
27,31,-13,-176
26,32,-328,-81
26,33,-266,-81
26,34,-204,-81
26,35,-204,-118
26,36,-204,-156
26,37,-266,-156
26,38,-328,-156
26,39,-328,-118
