Base Map,Sketch Maps,Generalization,Completeness_Streets(%),Completeness_Buildings(%),QualitativeAccuracy_Recall,QualitativeAccuracy_Precision,Generalization_OmissionMerge,Generalization_OmissionMerge(many-many),Generalization_Street_AbstractionToShowExistence,Generalization_JuctionMerge,Generalization_RoundaboutCollapse,Generalization_Amalgamation,Generalization_Collapse,Generalization_Building_AbstractionToShowExistence,QualitativeAccuracy_BuildingTopology(RCC8),QualitativeAccuracy_StreetBuildingTopology(DE9IM),QualitativeAccuracy_StreetsOrientation(OPRA),QualitativeAccuracy_StreetsConnectedness,QualitativeAccuracy_BuildingRoute_LeftRight,QualitativeAccuracy_BuildingRoute_LinearOrdering
_location5.png,CM_Sketch_9.png,11,43.10,50.00,0.94,0.94,10,0,0,0,0,0,0,1,100,0,56.25,100,100,100
_location5.png,AS_Sketch_1.png,11,46.15,8.70,0.94,0.94,9,0,0,0,2,0,0,0,100,0,56.25,100,0,0
_location5.png,AS_Sketch_4.png,11,27.08,100.00,0.85,0.76,5,1,2,0,2,0,0,1,100,0,43.75,81.82,33.33,100
_location5.png,AS_Sketch_10.png,8,87.88,72.73,0.97,0.97,6,0,0,1,0,1,0,0,99.17,0,50,100,66.67,50
_location5.png,AS_Sketch_7.png,9,16.39,60.00,0.84,0.86,5,0,0,0,2,2,0,0,100,0,53.33,100,50,0
_location5.png,AS_Sketch_5.png,9,22.22,100.00,0.91,0.75,6,0,0,0,2,1,0,0,100,0,38.89,83.33,50,50
_location5.png,AS_Sketch_3.png,7,63.79,30.43,0.95,0.94,7,0,0,0,0,0,0,0,71.43,0,47.83,100,66.67,33.33
_location5.png,AS_Sketch_8.png,10,38.60,71.43,0.91,0.9,7,0,0,0,1,2,0,0,99.05,0,26.67,97.4,100,100
_location5.png,AS_Sketch_9.png,9,41.67,50.00,0.92,0.91,8,0,0,0,0,0,0,1,100,0,41.67,99,100,100
_location5.png,AS_Sketch_2.png,10,61.54,100.00,0.96,0.96,6,0,0,1,2,1,0,0,100,0,62.82,100,66.67,33.33
_location5.png,AS_Sketch_6.png,11,29.79,85.71,0.9,0.9,5,1,2,0,2,1,0,0,100,0,50,100,80,100
_location5.png,CM_Sketch_1.png,11,46.15,8.70,0.93,0.93,9,0,0,0,2,0,0,0,100,0,52.08,100,0,0
_location5.png,CM_Sketch_4.png,11,27.08,100.00,0.9,0.87,5,1,2,0,2,0,0,1,100,0,50,100,66.67,33.33
_location5.png,CM_Sketch_2.png,8,54.55,100.00,0.96,0.91,4,0,0,1,2,1,0,0,100,0,65.22,94.44,66.67,33.33
_location5.png,CM_Sketch_5.png,9,22.22,100.00,0.87,0.89,6,0,0,0,2,1,0,0,100,0,50,100,66.67,33.33
_location5.png,CM_Sketch_3.png,7,64.91,30.43,0.96,0.96,7,0,0,0,0,0,0,0,100,0,62.32,100,75,50
_location5.png,CM_Sketch_6.png,11,29.79,100.00,0.94,0.95,5,1,2,0,2,1,0,0,100,0,68.75,100,100,100
_location5.png,CM_Sketch_7.png,9,16.67,60.00,0.85,0.84,5,0,0,0,2,2,0,0,100,0,53.33,100,66.67,0
_location5.png,CM_Sketch_8.png,11,41.38,71.43,0.92,0.91,8,0,0,0,1,2,0,0,98.1,0,37.5,97.83,100,66.67
_location5.png,JK_Sketch_2.png,9,55.38,100.00,0.95,0.96,5,0,0,1,2,1,0,0,100,0,55.07,100,100,100
_location5.png,JK_Sketch_1.png,11,46.15,8.70,0.92,0.84,9,0,0,0,2,0,0,0,100,0,41.67,91.67,0,0
_location5.png,JK_Sketch_3.png,7,63.79,30.43,0.95,0.95,7,0,0,0,0,0,0,0,100,0,47.83,100,60,50
_location5.png,CM_Sketch_10.png,7,86.57,72.73,0.97,0.97,5,0,0,1,0,1,0,0,99.17,0,59.65,99.88,66.67,50
_location5.png,JK_Sketch_4.png,11,29.17,100.00,0.93,0.9,5,1,2,0,2,0,0,1,100,0,62.5,100,66.67,33.33
_location5.png,JK_Sketch_6.png,11,29.17,100.00,0.91,0.92,5,1,2,0,2,1,0,0,100,0,56.25,100,100,100
_location5.png,JK_Sketch_5.png,9,21.82,100.00,0.85,0.87,6,0,0,0,2,1,0,0,100,0,38.89,100,66.67,33.33
_location5.png,JK_Sketch_7.png,9,16.39,60.00,0.82,0.81,5,0,0,0,2,2,0,0,100,0,40,100,66.67,0
_location5.png,JK_Sketch_8.png,10,40.68,71.43,0.91,0.9,7,0,0,0,1,2,0,0,98.1,0,31.25,97.1,100,66.67
_location5.png,JK_Sketch_9.png,11,43.10,50.00,0.93,0.93,10,0,0,0,0,0,0,1,100,0,47.92,100,100,100
_location5.png,JK_Sketch_10.png,7,86.57,72.73,0.97,0.97,5,0,0,1,0,1,0,0,98.33,0,47.37,99.88,80,100
